Date,Open,High,Low,Close,Adj Close,Volume
2014-07-03,26720,26720,26320,26360,71.281685,8543050
2014-07-04,26440,26520,26060,26120,70.632683,5978850
2014-07-07,25820,26020,25800,25840,69.875519,9437050
2014-07-08,25880,26380,25740,25900,70.037773,12073200
2014-07-09,25740,26160,25660,26160,70.740852,11829900
2014-07-10,26160,26220,26040,26120,70.632683,8960200
2014-07-11,26000,26040,25640,25680,69.442848,10779600
2014-07-14,25960,26000,25720,25720,69.55101,7082150
2014-07-15,26000,26460,25940,26400,71.389847,11976050
2014-07-16,26260,26460,26220,26420,71.443932,9114200
2014-07-17,26520,26700,26400,26600,71.930687,10922700
2014-07-18,26300,26860,26280,26860,72.633781,9742650
2014-07-21,26980,27200,26860,27060,73.174591,8059950
2014-07-22,26960,27160,26900,26960,72.904175,6300950
2014-07-23,27080,27140,26700,26760,72.363342,6417300
2014-07-24,27000,27160,26620,27100,73.282761,8051700
2014-07-25,26920,27100,26700,27100,73.282761,8790150
2014-07-28,27100,27340,26880,27160,73.445015,8992550
2014-07-29,27100,27760,27060,27720,74.959343,12809300
2014-07-30,27760,28160,27480,27900,75.446083,17359450
2014-07-31,27480,27700,26720,26860,72.633781,24351350
2014-08-01,26100,26560,25840,25840,69.875519,28231050
2014-08-04,26000,26340,25820,26340,71.2276,12066750
2014-08-05,26020,26420,26000,26320,71.173515,8626450
2014-08-06,26120,26320,25900,26000,70.308182,10830100
2014-08-07,26000,26040,25700,25800,69.767357,9527250
2014-08-08,25680,25700,24960,25000,67.604027,20621450
2014-08-11,25500,25640,25140,25400,68.685684,18619250
2014-08-12,25400,25880,25240,25320,68.46936,8995700
2014-08-13,25500,25500,24960,25280,68.361183,12845000
2014-08-14,25480,25640,25080,25220,68.198944,10447350
2014-08-18,25580,25600,25000,25000,67.604027,10518950
2014-08-19,25280,25460,25060,25080,67.820358,10044400
2014-08-20,25280,25420,25020,25220,68.198944,9430600
2014-08-21,25100,25220,24620,24700,66.792778,17105400
2014-08-22,24900,24940,24700,24940,67.44178,8407650
2014-08-25,24620,24620,24420,24560,66.414185,11577200
2014-08-26,24700,24700,24420,24440,66.089699,10719450
