,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
19,2011-01-28,19960,20280,19800,20200,383021,20110128,320.0,0.0161,0.004024144869215292,0.02012072434607646,-0.004024144869215292,0.24564,0.0,0.06428,0.0,0.10624,,,,,1,1,1,S1,20200,0,0,0,0,0.0,2107.8701171875,-0.0033799999999999998
23,2011-02-08,19400,19480,19180,19220,610004,20110208,-220.0,-0.01132,-0.00205761316872428,0.00205761316872428,-0.013374485596707819,0.25725,-0.04851,0.0,-0.04851,0.05257,,,,,1,-1,0,S1,0,0,-980,0,-980,-980.0,2069.699951171875,-0.0057799999999999995
60,2011-04-01,18720,18800,18540,18800,449733,20110401,160.0,0.008579999999999999,0.004291845493562232,0.008583690987124463,-0.00536480686695279,-0.14769,0.0,0.07675,0.0,0.09302,-0.06931,0.09302,-0.06931,0.09302,1,1,1,S1,18800,0,0,0,-980,0.0,2121.010009765625,0.006790000000000001
64,2011-04-07,18500,18700,18100,18180,436076,20110407,-280.0,-0.01517,0.0021668472372697724,0.013001083423618635,-0.01950162513542795,-0.20768,-0.0381,0.0,-0.0381,0.05698,-0.1,0.05698,-0.1,0.05698,1,-1,0,S1,0,0,-620,0,-1600,-620.0,2122.139892578125,-0.00215
82,2011-05-03,18720,18800,18440,18760,507510,20110503,120.0,0.00644,0.004291845493562232,0.008583690987124463,-0.01072961373390558,-0.22128,0.0,0.05512,0.0,0.08189,-0.02292,0.0907,-0.02393,0.0907,1,1,1,S1,18760,0,0,0,-1600,-620.0,2200.72998046875,-0.01267
87,2011-05-12,17720,18020,17660,17700,552942,20110512,-140.0,-0.00785,-0.006726457399103139,0.010089686098654708,-0.010089686098654708,0.23443,-0.0565,0.0,-0.0565,0.02076,-0.06349,0.02907,-0.07812,0.02907,1,-1,0,S1,0,0,-1060,0,-2660,-1060.0,2122.64990234375,-0.0203
124,2011-07-05,17600,17980,17560,17980,422262,20110705,420.0,0.02392,0.002277904328018223,0.023917995444191344,0.0,-0.0167,0.0,0.08838,0.0,0.12375,-0.04158,0.12375,-0.04158,0.12375,1,1,1,S1,17980,0,0,0,-2660,0.0,2161.75,0.007670000000000001
131,2011-07-14,16700,16700,16460,16620,407918,20110714,-240.0,-0.014230000000000001,-0.009489916963226572,-0.009489916963226572,-0.02372479240806643,0.23853,-0.07564,0.0,-0.07564,0.03875,-0.11407,0.03875,-0.11407,0.03875,1,-1,0,S1,0,0,-1360,0,-4020,-1360.0,2130.070068359375,0.0002
169,2011-09-07,14660,15560,14660,15460,351504,20110907,920.0,0.06327,0.008253094910591471,0.07015130674002751,0.008253094910591471,0.32891,0.0,0.06621,0.0,0.13676,-0.14016,0.13676,-0.14016,0.13676,1,1,1,S1,15460,0,0,0,-4020,0.0,1833.4599609375,0.03778
212,2011-11-10,19340,19460,18700,18700,624218,20111110,-1000.0,-0.05076,-0.018274111675126905,-0.012182741116751269,-0.050761421319796954,0.61559,-0.06965,0.0,-0.06965,0.05889,-0.06965,0.32062,-0.06965,0.375,1,-1,0,S1,0,0,3240,1,-780,3240.0,1813.25,-0.04943
225,2011-11-29,19800,20100,19720,20100,552503,20111129,540.0,0.027610000000000003,0.012269938650306749,0.027607361963190184,0.0081799591002045,0.74876,0.0,0.07487,0.0,0.07487,0.0,0.33466,0.0,0.38239,1,1,1,S2,20100,0,0,1,-780,3240.0,1856.52001953125,0.022719999999999997
340,2012-05-16,25960,26000,24560,24600,772389,20120516,-1620.0,-0.061779999999999995,-0.009916094584286803,-0.008390541571319604,-0.06331045003813883,1.47259,-0.12206,0.0,-0.12766,0.0,-0.12766,0.05038,-0.12766,0.06034,1,-1,0,S2,0,0,4500,1,3720,4500.0,1840.530029296875,-0.03077
398,2012-08-08,26120,26560,26020,26400,389471,20120808,520.0,0.02009,0.00927357032457496,0.02627511591962906,0.005409582689335394,0.89226,0.0,0.12628,0.0,0.2099,0.0,0.2099,0.0,0.2099,1,1,1,S2,26400,0,0,1,3720,0.0,1903.22998046875,0.008709999999999999
410,2012-08-27,23780,24060,23460,23600,1277983,20120827,-1900.0,-0.07451,-0.06745098039215686,-0.05647058823529412,-0.08,3.5171,-0.12268,0.0,-0.12463,0.0,-0.12463,0.08158,-0.12463,0.08158,1,-1,0,S2,0,0,-2800,0,920,-2800.0,1917.8699951171875,-0.00101
423,2012-09-13,25980,26100,25620,26020,390332,20120913,140.0,0.00541,0.0038639876352395673,0.008500772797527048,-0.010046367851622875,0.05424,0.0,0.0942,0.0,0.10254,-0.03487,0.19248,-0.03487,0.19248,1,1,1,S1,26020,0,0,0,920,-2800.0,1950.68994140625,0.00033999999999999997
440,2012-10-10,27060,27200,26500,26500,260023,20121010,-940.0,-0.034260000000000006,-0.013848396501457727,-0.008746355685131196,-0.034256559766763846,0.47683,-0.03496,0.0,-0.03496,0.05494,-0.03496,0.14421,-0.03496,0.15017,1,-1,0,S1,0,0,480,1,1400,480.0,1948.219970703125,-0.015569999999999999
470,2012-11-21,27520,27940,27440,27680,355901,20121121,400.0,0.01466,0.008797653958944282,0.024193548387096774,0.005865102639296188,0.32509,0.0,0.05891,0.0,0.07537,0.0,0.164,0.0,0.164,1,1,1,S2,27680,0,0,1,1400,0.0,1884.0400390625,-0.00325
512,2013-01-24,29360,29380,28820,29060,320146,20130124,-400.0,-0.013580000000000002,-0.0033944331296673455,-0.0027155465037338763,-0.02172437202987101,0.71431,-0.06379,0.0,-0.07805,0.0,-0.07805,0.11171,-0.07805,0.12028,1,-1,0,S2,0,0,1380,1,2780,1380.0,1964.47998046875,-0.00804
