,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,kospi close,kospi change_r
0,2011-01-03,19100,19320,19000,19160,265562,20110103,,,2070.080078125,
1,2011-01-04,19120,19219,18980,19160,274488,20110104,0.0,0.0,2085.139892578125,0.00727
2,2011-01-05,19100,19100,18840,18840,336224,20110105,-320.0,-0.0167,2082.550048828125,-0.00124
3,2011-01-06,18840,18980,18460,18600,387488,20110106,-240.0,-0.012740000000000001,2077.610107421875,-0.00237
4,2011-01-07,18300,18580,18280,18420,463447,20110107,-180.0,-0.00968,2086.199951171875,0.00413
5,2011-01-10,18360,18560,18180,18340,367107,20110110,-80.0,-0.00434,2080.81005859375,-0.0025800000000000003
6,2011-01-11,18340,18440,18160,18260,391242,20110111,-80.0,-0.00436,2088.320068359375,0.00361
7,2011-01-12,18280,18660,18280,18600,412107,20110112,340.0,0.018619999999999998,2094.949951171875,0.00317
8,2011-01-13,18980,18980,18340,18440,568083,20110113,-160.0,-0.0086,2089.47998046875,-0.0026100000000000003
9,2011-01-14,18559,18679,18300,18660,307694,20110114,220.0,0.01193,2108.169921875,0.00894
10,2011-01-17,18900,19020,18800,18980,411740,20110117,320.0,0.01715,2099.85009765625,-0.00395
11,2011-01-18,19000,19620,18980,19380,592816,20110118,400.0,0.02107,2096.47998046875,-0.0016
12,2011-01-19,19580,20000,19320,19940,668320,20110119,560.0,0.0289,2115.68994140625,0.00916
13,2011-01-20,19740,19800,19580,19640,304970,20110120,-300.0,-0.01505,2106.659912109375,-0.00427
14,2011-01-21,19520,19680,19400,19420,333801,20110121,-220.0,-0.0112,2069.919921875,-0.01744
15,2011-01-24,19360,19660,19320,19420,272455,20110124,0.0,0.0,2082.159912109375,0.00591
16,2011-01-25,19440,19800,19420,19500,279580,20110125,80.0,0.00412,2086.669921875,0.00217
17,2011-01-26,19700,19980,19600,19960,267128,20110126,460.0,0.02359,2110.4599609375,0.0114
18,2011-01-27,19900,20040,19820,19880,307490,20110127,-80.0,-0.0040100000000000005,2115.010009765625,0.00216
19,2011-01-28,19960,20280,19800,20200,383021,20110128,320.0,0.0161,2107.8701171875,-0.0033799999999999998
20,2011-01-31,20180,20200,19620,19620,428852,20110131,-580.0,-0.028710000000000003,2069.72998046875,-0.018090000000000002
21,2011-02-01,19640,19900,19580,19660,269518,20110201,40.0,0.0020399999999999997,2072.030029296875,0.0011099999999999999
22,2011-02-07,20040,20080,19440,19440,485191,20110207,-220.0,-0.01119,2081.739990234375,0.00469
23,2011-02-08,19400,19480,19180,19220,610004,20110208,-220.0,-0.01132,2069.699951171875,-0.0057799999999999995
24,2011-02-09,19460,19460,19020,19200,420301,20110209,-20.0,-0.0010400000000000001,2045.5799560546875,-0.01165
25,2011-02-10,19200,19300,18700,18720,614002,20110210,-480.0,-0.025,2008.5,-0.01813
26,2011-02-11,18700,18860,18260,18300,530889,20110211,-420.0,-0.02244,1977.18994140625,-0.015590000000000001
27,2011-02-14,18559,19100,18500,19060,391852,20110214,760.0,0.041530000000000004,2014.5899658203125,0.01892
28,2011-02-15,19260,19400,18940,19160,362193,20110215,100.0,0.00525,2010.52001953125,-0.00202
29,2011-02-16,19040,19400,18900,18900,304438,20110216,-260.0,-0.013569999999999999,1989.1099853515625,-0.01065
30,2011-02-17,19060,19260,18860,19080,287009,20110217,180.0,0.00952,1977.219970703125,-0.00598
31,2011-02-18,19300,19320,19140,19200,205097,20110218,120.0,0.00629,2013.1400146484373,0.01817
32,2011-02-21,19280,19300,18840,18960,275361,20110221,-240.0,-0.0125,2005.300048828125,-0.00389
33,2011-02-22,18780,18960,18680,18760,243946,20110222,-200.0,-0.01055,1969.9200439453125,-0.01764
34,2011-02-23,18500,18820,18500,18600,344149,20110223,-160.0,-0.00853,1961.6300048828125,-0.00421
35,2011-02-24,18520,18680,18400,18580,362392,20110224,-20.0,-0.00108,1949.8800048828125,-0.00599
36,2011-02-25,18560,18660,18460,18520,303972,20110225,-60.0,-0.00323,1963.4300537109373,0.00695
37,2011-02-28,18400,18680,18400,18460,325623,20110228,-60.0,-0.00324,1939.300048828125,-0.01229
38,2011-03-02,18280,18460,18240,18360,322780,20110302,-100.0,-0.00542,1928.239990234375,-0.0057
39,2011-03-03,18380,18540,18320,18460,362277,20110303,100.0,0.00545,1970.6600341796875,0.022000000000000002
40,2011-03-04,18680,18900,18540,18900,371501,20110304,440.0,0.02384,2004.6800537109373,0.01726
41,2011-03-07,18860,18860,18120,18120,638965,20110307,-780.0,-0.04127,1980.27001953125,-0.01218
42,2011-03-08,18220,18240,17880,17980,499287,20110308,-140.0,-0.00773,1996.3199462890625,0.0081
43,2011-03-09,18120,18160,17640,17800,527673,20110309,-180.0,-0.01001,2001.469970703125,0.0025800000000000003
44,2011-03-10,17580,17680,17320,17320,834229,20110310,-480.0,-0.026969999999999997,1981.5799560546875,-0.009940000000000001
45,2011-03-11,17220,17520,17200,17240,543168,20110311,-80.0,-0.00462,1955.5400390625,-0.01314
46,2011-03-14,17600,18020,17060,18000,667121,20110314,760.0,0.04408,1971.22998046875,0.008020000000000001
47,2011-03-15,18020,18040,17120,17200,727312,20110315,-800.0,-0.04444,1923.9200439453125,-0.024
48,2011-03-16,17700,17900,17440,17720,799142,20110316,520.0,0.03023,1957.969970703125,0.0177
49,2011-03-17,17560,17800,17360,17800,450459,20110317,80.0,0.00451,1959.030029296875,0.00054
50,2011-03-18,17840,17900,17660,17820,383562,20110318,20.0,0.00112,1981.1300048828125,0.01128
51,2011-03-21,17820,17980,17680,17800,290140,20110321,-20.0,-0.00112,2003.4200439453125,0.01125
52,2011-03-22,17840,17940,17400,17500,436722,20110322,-300.0,-0.01685,2013.6600341796875,0.00511
53,2011-03-23,17600,17600,17180,17460,505176,20110323,-40.0,-0.00229,2012.1800537109373,-0.00073
54,2011-03-24,17600,17760,17480,17600,308119,20110324,140.0,0.008020000000000001,2036.780029296875,0.01223
55,2011-03-25,17840,18200,17800,18200,622311,20110325,600.0,0.034089999999999995,2054.0400390625,0.00847
56,2011-03-28,18300,18440,18180,18320,318215,20110328,120.0,0.00659,2056.389892578125,0.00114
57,2011-03-29,18140,18320,18000,18320,344624,20110329,0.0,0.0,2072.1298828125,0.00765
58,2011-03-30,18320,18580,18320,18520,414257,20110330,200.0,0.010920000000000001,2091.3798828125,0.009290000000000001
59,2011-03-31,18719,18719,18420,18640,527666,20110331,120.0,0.00648,2106.699951171875,0.00733
60,2011-04-01,18720,18800,18540,18800,449733,20110401,160.0,0.008579999999999999,2121.010009765625,0.006790000000000001
61,2011-04-04,18800,18900,18780,18900,334749,20110404,100.0,0.00532,2115.8701171875,-0.00242
62,2011-04-05,18960,18960,18700,18900,238698,20110405,0.0,0.0,2130.429931640625,0.00688
63,2011-04-06,18800,18840,18300,18460,550378,20110406,-440.0,-0.023280000000000002,2126.7099609375,-0.00175
64,2011-04-07,18500,18700,18100,18180,436076,20110407,-280.0,-0.01517,2122.139892578125,-0.00215
65,2011-04-08,18220,18280,17900,17960,521299,20110408,-220.0,-0.0121,2127.969970703125,0.00275
66,2011-04-11,17960,18140,17760,17880,412638,20110411,-80.0,-0.00445,2122.389892578125,-0.00262
67,2011-04-12,17720,17800,17640,17640,316036,20110412,-240.0,-0.01342,2089.39990234375,-0.01554
68,2011-04-13,17740,18020,17600,18020,332860,20110413,380.0,0.02154,2121.919921875,0.01556
69,2011-04-14,18000,18000,17680,18000,505624,20110414,-20.0,-0.0011099999999999999,2141.06005859375,0.00902
70,2011-04-15,17960,17980,17640,17760,446008,20110415,-240.0,-0.013330000000000002,2140.5,-0.00026000000000000003
71,2011-04-18,17820,17840,17320,17340,549291,20110418,-420.0,-0.02365,2137.719970703125,-0.0013
72,2011-04-19,17060,17500,17060,17500,462304,20110419,160.0,0.00923,2122.679931640625,-0.00704
73,2011-04-20,17780,18320,17720,18320,641519,20110420,820.0,0.04686,2169.909912109375,0.02225
74,2011-04-21,18600,18739,18360,18560,541665,20110421,240.0,0.0131,2198.5400390625,0.01319
75,2011-04-22,18480,18540,18040,18080,377225,20110422,-480.0,-0.02586,2197.820068359375,-0.00033
76,2011-04-25,18020,18220,17780,17780,287621,20110425,-300.0,-0.01659,2216.0,0.00827
77,2011-04-26,17980,17980,17600,17940,384355,20110426,160.0,0.009000000000000001,2206.300048828125,-0.004379999999999999
78,2011-04-27,18340,18540,18220,18480,528108,20110427,540.0,0.0301,2206.699951171875,0.00018
79,2011-04-28,18480,18540,17980,18000,416427,20110428,-480.0,-0.02597,2208.35009765625,0.00075
80,2011-04-29,18020,18160,17600,17860,429874,20110429,-140.0,-0.00778,2192.360107421875,-0.007240000000000001
81,2011-05-02,18200,18740,18080,18640,651726,20110502,780.0,0.04367,2228.9599609375,0.01669
82,2011-05-03,18720,18800,18440,18760,507510,20110503,120.0,0.00644,2200.72998046875,-0.01267
83,2011-05-04,18600,18680,18000,18300,515717,20110504,-460.0,-0.02452,2180.639892578125,-0.00913
84,2011-05-06,17980,18280,17900,17980,473222,20110506,-320.0,-0.017490000000000002,2147.449951171875,-0.01522
85,2011-05-09,18160,18220,17820,17820,271573,20110509,-160.0,-0.0089,2139.169921875,-0.00386
86,2011-05-11,17780,17900,17640,17840,447932,20110511,20.0,0.00112,2166.6298828125,0.01284
87,2011-05-12,17720,18020,17660,17700,552942,20110512,-140.0,-0.00785,2122.64990234375,-0.0203
88,2011-05-13,17920,18480,17800,18320,669154,20110513,620.0,0.03503,2120.080078125,-0.00121
89,2011-05-16,18340,18380,17960,18020,322905,20110516,-300.0,-0.016380000000000002,2104.179931640625,-0.0075
90,2011-05-17,17940,17960,17780,17800,231293,20110517,-220.0,-0.012209999999999999,2102.409912109375,-0.00084
91,2011-05-18,17860,17980,17720,17860,331824,20110518,60.0,0.00337,2135.780029296875,0.01587
92,2011-05-19,17820,17960,17600,17600,387733,20110519,-260.0,-0.01456,2095.510009765625,-0.01885
93,2011-05-20,17700,17740,17600,17640,221517,20110520,40.0,0.00227,2111.5,0.00763
94,2011-05-23,17540,17700,17440,17460,282045,20110523,-180.0,-0.0102,2055.7099609375,-0.02642
95,2011-05-24,17440,17680,17300,17300,290181,20110524,-160.0,-0.00916,2061.760009765625,0.00294
96,2011-05-25,17580,17580,17060,17120,320945,20110525,-180.0,-0.0104,2035.8699951171875,-0.01256
97,2011-05-26,17360,17600,17300,17580,279740,20110526,460.0,0.026869999999999998,2091.909912109375,0.027530000000000002
